id,age,job,marital,education,housing,loan_alive
106787,26,admin.,single,secondary,yes,no
132205,72,retired,married,secondary,no,no
117181,42,blue-collar,married,primary,yes,no
130998,41,unemployed,married,primary,no,no
130997,41,services,married,unknown,yes,no
135560,45,admin.,married,secondary,yes,yes
111058,26,management,single,primary,no,no
132247,52,entrepreneur,single,tertiary,yes,no
101522,38,unemployed,married,primary,yes,yes
131133,32,technician,single,tertiary,no,no
121406,48,blue-collar,married,primary,no,no
121405,45,blue-collar,married,primary,no,yes
119190,31,self-employed,single,tertiary,no,no
137928,42,services,divorced,secondary,yes,no
129590,51,housemaid,married,primary,no,no
129589,36,management,married,tertiary,no,no
104459,30,blue-collar,single,secondary,yes,no
134964,30,technician,single,tertiary,yes,no
101210,47,blue-collar,married,primary,yes,no
101209,34,management,married,tertiary,yes,no
109287,37,management,married,tertiary,no,yes
109288,57,technician,married,primary,no,no
134351,26,technician,single,secondary,yes,no
122719,37,technician,married,secondary,no,no
122720,36,management,married,tertiary,no,no
121556,52,retired,married,secondary,no,yes
121555,46,blue-collar,married,primary,no,no
124733,35,self-employed,single,secondary,yes,no
124734,44,housemaid,divorced,secondary,no,no
120224,34,management,married,tertiary,no,no
120223,34,technician,married,secondary,no,no
126210,33,technician,single,secondary,yes,no
138293,31,blue-collar,single,secondary,yes,no
104345,23,technician,single,unknown,yes,no
110064,42,admin.,married,secondary,no,no
110063,44,management,married,tertiary,no,no
112961,44,services,married,secondary,yes,no
112962,41,admin.,married,secondary,yes,no
134625,35,entrepreneur,married,tertiary,no,no
114664,43,technician,single,tertiary,no,no
123991,41,technician,divorced,secondary,no,no
124225,45,management,married,tertiary,yes,no
124226,48,management,married,tertiary,yes,no
132112,32,services,married,secondary,yes,no
107259,30,admin.,divorced,primary,yes,no
110012,57,housemaid,married,secondary,no,no
110365,38,services,single,primary,yes,no
135322,41,management,married,tertiary,yes,no
143865,65,admin.,married,secondary,no,no
141045,29,unemployed,single,secondary,no,no
125730,33,technician,single,tertiary,yes,no
140743,27,technician,single,tertiary,no,no
112419,42,blue-collar,divorced,primary,no,yes
134616,35,services,single,secondary,yes,no
128057,33,admin.,married,unknown,no,no
128058,39,management,married,secondary,no,no
124287,46,admin.,divorced,secondary,no,no
115682,35,student,single,secondary,yes,no
137090,39,technician,divorced,secondary,yes,yes
123551,45,blue-collar,married,primary,no,no
123552,50,services,married,secondary,no,no
123313,36,self-employed,married,secondary,no,no
123314,58,retired,married,secondary,no,no
104540,32,blue-collar,married,secondary,yes,no
104539,36,admin.,married,secondary,yes,no
106630,29,management,married,tertiary,yes,no
130254,33,management,single,tertiary,yes,no
123840,49,management,married,tertiary,no,no
108118,35,admin.,married,secondary,yes,yes
108117,37,blue-collar,married,secondary,yes,no
126794,54,self-employed,married,secondary,yes,no
126793,38,management,married,secondary,yes,no
105072,32,management,single,tertiary,yes,no
142665,45,admin.,married,secondary,no,no
142666,32,admin.,married,secondary,yes,yes
102964,40,admin.,divorced,secondary,yes,no
128322,40,management,married,tertiary,yes,no
128321,31,management,married,tertiary,no,no
144126,40,admin.,married,secondary,no,no
134510,26,student,single,secondary,yes,no
106605,32,technician,single,secondary,yes,no
143402,53,blue-collar,married,secondary,no,no
143401,47,admin.,married,secondary,yes,no
132109,37,services,married,secondary,yes,no
132110,51,entrepreneur,married,primary,yes,yes
117600,43,blue-collar,married,secondary,no,no
101011,35,blue-collar,married,primary,yes,no
116248,46,management,divorced,tertiary,yes,no
132288,46,blue-collar,single,primary,yes,no
117204,27,management,single,tertiary,yes,no
114427,53,blue-collar,married,secondary,yes,no
103768,40,admin.,single,secondary,yes,no
109744,48,management,married,primary,no,no
109743,58,housemaid,married,tertiary,no,yes
102208,48,blue-collar,single,primary,yes,no
105120,33,self-employed,married,tertiary,yes,no
105119,32,blue-collar,married,secondary,yes,no
107316,35,blue-collar,single,secondary,yes,yes
144369,34,management,married,secondary,no,no
102368,33,management,single,tertiary,yes,no
112968,58,blue-collar,married,primary,no,no
112967,33,entrepreneur,married,secondary,no,yes
123368,32,technician,single,secondary,yes,no
125046,50,blue-collar,divorced,primary,yes,yes
135790,46,blue-collar,single,secondary,yes,no
104723,39,services,married,secondary,yes,no
104724,32,technician,married,secondary,yes,no
136326,33,admin.,divorced,secondary,yes,yes
132811,30,services,married,secondary,yes,no
132812,40,blue-collar,married,secondary,yes,no
106841,27,services,single,secondary,yes,no
131152,78,retired,married,primary,no,no
131151,62,housemaid,married,unknown,no,no
130991,42,management,single,tertiary,yes,no
106680,35,services,married,secondary,yes,no
123288,55,admin.,married,secondary,no,no
123287,50,blue-collar,married,primary,no,no
141474,31,management,single,tertiary,no,no
141308,36,blue-collar,single,secondary,yes,no
103477,33,technician,single,secondary,yes,yes
142975,55,technician,divorced,secondary,no,no
101785,58,blue-collar,married,primary,yes,no
101786,36,blue-collar,married,secondary,yes,no
108143,33,blue-collar,single,secondary,yes,no
122836,33,technician,single,secondary,no,yes
118444,51,admin.,divorced,secondary,yes,yes
122777,50,management,married,tertiary,no,no
122778,30,management,married,tertiary,yes,no
109198,40,management,single,secondary,no,no
129436,53,technician,married,secondary,yes,no
129435,31,admin.,single,secondary,no,no
135533,33,technician,single,secondary,yes,no
120699,41,self-employed,married,primary,no,no
120700,60,retired,married,unknown,no,no
105622,30,admin.,single,tertiary,yes,no
114443,50,technician,married,secondary,yes,no
116613,51,services,married,secondary,yes,no
133394,28,technician,single,tertiary,yes,no
127403,39,management,single,tertiary,yes,no
102299,44,management,single,tertiary,yes,no
116926,30,admin.,single,secondary,no,no
118432,42,services,single,secondary,yes,no
113380,44,technician,married,tertiary,yes,yes
113379,34,services,married,primary,no,yes
110250,43,technician,single,secondary,yes,no
143097,33,unemployed,single,tertiary,no,no
142917,27,management,single,secondary,yes,no
137315,32,blue-collar,married,secondary,yes,no
103796,30,blue-collar,single,unknown,yes,no
135697,41,blue-collar,divorced,secondary,yes,no
108856,28,unemployed,single,tertiary,yes,no
101182,42,blue-collar,married,primary,yes,no
113874,38,admin.,married,secondary,yes,no
103162,43,services,married,secondary,yes,no
113873,34,self-employed,married,tertiary,no,no
134708,47,technician,married,primary,yes,yes
134707,42,services,married,secondary,yes,no
110899,44,blue-collar,married,secondary,yes,no
110900,37,housemaid,married,secondary,no,no
139582,54,technician,married,tertiary,no,no
139581,30,management,married,unknown,no,no
116717,27,management,married,tertiary,yes,no
116272,56,retired,divorced,tertiary,no,no
116803,39,services,divorced,unknown,yes,no
122950,32,technician,divorced,secondary,no,yes
115049,30,services,married,secondary,yes,yes
115050,30,management,married,tertiary,yes,no
131135,51,technician,married,secondary,no,no
131136,39,technician,married,secondary,no,no
100828,35,blue-collar,married,secondary,yes,yes
130429,31,admin.,single,tertiary,no,no
103444,58,technician,married,unknown,yes,no
103443,42,services,married,secondary,yes,no
126141,40,entrepreneur,married,secondary,no,no
125343,42,services,married,secondary,no,no
125344,31,services,married,secondary,yes,no
111647,43,blue-collar,married,unknown,no,yes
111648,37,entrepreneur,married,tertiary,no,no
129397,31,management,single,tertiary,no,no
129398,37,management,married,tertiary,yes,no
139177,54,retired,divorced,secondary,no,yes
134829,49,blue-collar,divorced,primary,yes,no
129086,45,services,married,secondary,yes,no
129085,46,entrepreneur,married,primary,no,no
107266,39,technician,single,secondary,yes,yes
143133,61,self-employed,divorced,tertiary,no,no
106130,44,blue-collar,single,secondary,yes,no
126562,40,blue-collar,married,primary,no,no
130538,33,admin.,single,secondary,no,no
128501,27,technician,single,secondary,yes,no
135273,39,management,single,tertiary,yes,no
127938,41,admin.,married,secondary,no,no
140108,27,admin.,single,secondary,yes,no
122061,37,management,single,tertiary,no,no
105563,32,admin.,married,secondary,yes,no
106353,33,admin.,married,secondary,yes,no
133391,32,management,single,tertiary,yes,no
112612,31,blue-collar,single,secondary,no,yes
101513,33,unemployed,married,secondary,yes,no
101514,37,services,married,secondary,yes,yes
131840,30,services,single,secondary,yes,no
125885,34,technician,single,secondary,yes,yes
140834,39,admin.,married,secondary,yes,no
112259,55,retired,divorced,primary,no,no
113699,42,technician,married,secondary,yes,yes
113700,50,admin.,married,secondary,no,no
134772,24,blue-collar,single,secondary,yes,no
109493,37,services,divorced,secondary,yes,no
117022,31,blue-collar,single,secondary,yes,no
116788,54,admin.,married,secondary,yes,no
116787,40,technician,married,secondary,yes,no
106847,26,unemployed,married,primary,yes,no
130036,59,retired,divorced,secondary,no,no
112303,42,technician,single,secondary,no,no
125999,51,unemployed,divorced,secondary,yes,no
104867,36,management,married,tertiary,yes,yes
104868,30,services,married,secondary,yes,no
112637,26,blue-collar,single,secondary,no,yes
137813,35,student,divorced,primary,yes,no
131975,43,blue-collar,married,secondary,yes,yes
131976,38,blue-collar,married,secondary,yes,no
104414,32,management,divorced,primary,yes,no
103421,47,blue-collar,married,secondary,yes,no
131348,28,student,single,secondary,no,no
122460,36,management,divorced,tertiary,yes,no
123186,34,services,married,secondary,no,no
123185,35,technician,married,secondary,no,no
143309,47,housemaid,single,tertiary,no,no
115543,38,blue-collar,married,secondary,yes,yes
115544,31,services,married,secondary,yes,no
137447,36,management,divorced,tertiary,yes,no
143560,61,housemaid,married,primary,no,no
143559,68,retired,married,primary,no,no
119371,33,management,single,tertiary,no,yes
117429,57,retired,divorced,primary,no,no
113167,37,blue-collar,married,primary,no,yes
113168,59,blue-collar,married,primary,no,no
101265,37,technician,single,unknown,yes,no
109422,60,retired,married,primary,no,no
109421,50,blue-collar,married,primary,yes,no
103494,26,technician,single,secondary,yes,yes
121858,42,management,divorced,tertiary,yes,no
113879,36,services,divorced,secondary,yes,no
137718,35,blue-collar,married,primary,yes,no
119558,38,management,single,tertiary,no,no
130548,46,entrepreneur,married,secondary,no,no
127022,50,admin.,married,secondary,no,no
127021,40,entrepreneur,married,tertiary,yes,no
119240,30,blue-collar,single,secondary,no,no
134932,30,blue-collar,single,secondary,yes,no
141622,47,admin.,married,secondary,no,no
117711,25,services,single,secondary,yes,no
109669,27,blue-collar,married,secondary,yes,yes
109670,58,blue-collar,married,primary,no,no
125793,35,management,married,tertiary,no,no
125794,57,management,married,primary,no,no
107761,52,admin.,married,primary,yes,no
111086,38,management,single,tertiary,no,no
102410,30,services,married,secondary,yes,no
118696,42,self-employed,divorced,tertiary,no,yes
123609,52,management,married,tertiary,no,no
123610,31,self-employed,married,tertiary,no,no
100854,38,blue-collar,married,secondary,yes,no
100853,54,management,married,tertiary,yes,yes
120570,30,management,married,tertiary,yes,no
120569,58,technician,married,secondary,no,no
136087,45,blue-collar,married,primary,yes,no
110675,41,blue-collar,married,secondary,yes,no
110676,35,blue-collar,married,secondary,yes,no
104085,44,entrepreneur,married,secondary,yes,no
104086,33,admin.,married,secondary,no,no
111280,36,entrepreneur,married,tertiary,no,no
119491,30,housemaid,single,tertiary,no,no
141011,26,technician,single,tertiary,yes,no
112168,59,housemaid,single,unknown,no,no
143142,25,services,single,secondary,no,no
122524,32,management,married,tertiary,no,no
132254,47,technician,married,secondary,yes,no
107236,51,management,married,tertiary,yes,yes
142410,29,management,single,tertiary,no,no
108499,30,management,single,tertiary,yes,no
143046,30,admin.,single,tertiary,yes,no
100218,53,unemployed,married,unknown,no,no
100217,47,unknown,married,unknown,no,no
100613,55,services,married,primary,yes,no
100614,53,blue-collar,married,secondary,yes,no
107731,45,blue-collar,married,secondary,yes,yes
107732,29,services,married,secondary,yes,no
111072,36,blue-collar,married,secondary,yes,no
111071,37,admin.,married,secondary,no,no
118502,36,admin.,married,secondary,yes,no
142763,66,retired,married,tertiary,no,no
103576,48,blue-collar,married,primary,no,no
115743,32,management,divorced,tertiary,yes,no
116346,25,admin.,married,secondary,yes,no
130634,26,management,single,tertiary,no,no
101948,59,blue-collar,married,secondary,no,yes
138682,33,services,single,secondary,yes,no
141584,54,unemployed,divorced,secondary,no,no
136299,33,blue-collar,divorced,primary,yes,no
110520,51,management,married,unknown,no,no
110519,40,services,married,secondary,yes,no
137536,27,student,single,secondary,yes,no
117587,36,management,single,tertiary,yes,yes
125278,57,self-employed,married,secondary,no,no
125277,34,blue-collar,married,secondary,no,yes
100409,38,technician,married,secondary,yes,no
100410,46,blue-collar,married,secondary,yes,no
104775,32,technician,married,secondary,yes,no
104776,35,blue-collar,married,primary,yes,no
101904,27,self-employed,single,tertiary,yes,no
136486,47,services,married,secondary,yes,yes
143962,57,management,divorced,tertiary,no,no
125084,39,blue-collar,married,primary,no,no
132406,38,technician,married,secondary,yes,no
113397,35,admin.,married,primary,no,no
113398,35,services,married,secondary,no,yes
101676,28,blue-collar,married,secondary,yes,no
131520,38,blue-collar,married,unknown,yes,no
131519,48,services,married,secondary,yes,no
133262,28,blue-collar,single,secondary,yes,no
127655,59,management,married,tertiary,yes,no
106874,29,services,divorced,secondary,yes,no
101939,56,management,married,secondary,no,no
136136,31,blue-collar,married,secondary,yes,no
101902,38,technician,single,tertiary,yes,no
132596,24,student,single,secondary,yes,no
113191,35,blue-collar,married,primary,no,no
113192,56,retired,married,secondary,no,yes
128964,46,services,divorced,secondary,no,no
116186,42,blue-collar,married,secondary,yes,no
129471,47,blue-collar,single,secondary,yes,no
129472,43,blue-collar,married,secondary,yes,no
112662,27,technician,single,secondary,yes,yes
136752,47,blue-collar,married,unknown,yes,no
110031,38,blue-collar,divorced,secondary,no,no
129880,42,admin.,single,secondary,yes,no
144447,32,management,single,tertiary,no,no
134500,32,self-employed,single,tertiary,yes,no
105048,34,management,single,tertiary,yes,no
122919,41,management,married,tertiary,yes,no
122920,51,management,married,tertiary,no,no
117814,44,technician,divorced,secondary,no,no
130090,34,management,married,tertiary,yes,no
130089,38,self-employed,married,secondary,yes,no
125639,35,technician,married,secondary,no,no
125640,35,management,married,tertiary,yes,no
101719,22,student,single,secondary,yes,no
141879,37,management,single,tertiary,no,no
110400,43,housemaid,married,secondary,no,no
109715,50,management,married,tertiary,yes,no
138595,40,blue-collar,married,secondary,yes,no
127957,31,services,married,secondary,yes,no
127958,38,management,married,tertiary,no,no
107273,33,services,married,secondary,yes,no
127961,30,admin.,single,secondary,yes,no
110405,50,technician,married,tertiary,yes,yes
106817,57,management,married,tertiary,yes,no
127868,32,services,single,secondary,no,no
111642,43,technician,divorced,secondary,no,no
111641,50,housemaid,married,primary,no,no
123013,47,management,married,secondary,no,no
